t,m,j,u,Price
2004-05,Central,Apple,kg,62.23015873
2004-05,Central,Avocado,kg,20.07449495
2004-05,Central,Banana,kg,6.679788354
2004-05,Central,"Bean, Brown",kg,51.03975263
2004-05,Central,"Bean, White",kg,46.31542542
2004-05,Central,Beef,kg,201.6203072
2004-05,Central,Biscuits,kg,158.1520843
2004-05,Central,Bottled/ Canned Beer,kg,62.63969437
2004-05,Central,Bread,kg,751.396376
2004-05,Central,Breakfast Cereal,kg,444.170068
2004-05,Central,"Buns, Scones",kg,15.80743008
2004-05,Central,Butter,kg,14675.76918
2004-05,Central,Cabbage,kg,40.62502117
2004-05,Central,Cassava - Boiled (Vendor),kg,6.251157407
2004-05,Central,Cassava Flour,kg,28.93859649
2004-05,Central,Cassava Tubers,kg,9.335581758
2004-05,Central,Chambiko - Soured Milk,kg,60.95072222
2004-05,Central,Cheese,kg,3689.875
2004-05,Central,Chibuku/ Napolo,kg,34.94397994
2004-05,Central,Chicken,kg,1311.940069
2004-05,Central,Chicken (Vendor),kg,53.34613836
2004-05,Central,Chinese Cabbage,kg,8.092473211
2004-05,Central,Chips (Vendor),kg,56.17692023
2004-05,Central,"Citrus, Naartje, Orange, E",kg,6.826182728
2004-05,Central,Cocoyam (Masimbi),kg,
2004-05,Central,Coffee,kg,1377.028012
2004-05,Central,Cooking Oil,kg,43.62412034
2004-05,Central,Cowpea (Khobwe),kg,36.3079858
2004-05,Central,Cucumber,kg,17.87978728
2004-05,Central,Dried Fish,kg,35.78382258
2004-05,Central,Eggs,kg,25.89852336
2004-05,Central,Eggs - Boiled (Vendor),kg,27.17820513
2004-05,Central,Finger Millet,kg,46.14698736
2004-05,Central,Fish (Vendor),kg,17.47480469
2004-05,Central,Freezes (Flavoured Ice),kg,13.06172411
2004-05,Central,Fresh Fish (Large Variety),kg,57.82105468
2004-05,Central,Fresh Milk,kg,58.24463897
2004-05,Central,Fruit Juice,kg,73.46310905
2004-05,Central,Gathered Wild Green Leaves,kg,10.7254902
2004-05,Central,Goat,kg,159.9230843
2004-05,Central,Green Maize,kg,15.70232553
2004-05,Central,Ground Bean,kg,55.85694444
2004-05,Central,Groundnut,kg,33.79970642
2004-05,Central,Groundnut Flour,kg,43.30982377
2004-05,Central,Guava,kg,4.072620233
2004-05,Central,"Hot Sauce (Nali, Etc.)",kg,135.8719063
2004-05,Central,Infant Feeding Cereals,kg,569.1341991
2004-05,Central,Infant Feeding Formula,kg,542.1125
2004-05,Central,Irish Potato,kg,21.64222236
2004-05,Central,"Jam, Jelly, Honey",kg,559.4798932
2004-05,Central,Local Sweet Beer (Thobwa),kg,11.11439223
2004-05,Central,Locally Brewed Liquor,kg,22.70121812
2004-05,Central,Maize - Boiled Or Roasted,kg,16.9107831
2004-05,Central,Maize Grain (Not As Ufa),kg,24.54661836
2004-05,Central,Maize Ufa Madeya (Bran Flo,kg,15.45918656
2004-05,Central,Maize Ufa Mgaiwa (Normal F,kg,43.50425589
2004-05,Central,Maize Ufa Refined (Fine Fl,kg,30.55764815
