t,m,j,u,Price
2004-05,Central,apple,kg,62.23015873
2004-05,Central,avocado,kg,20.07449495
2004-05,Central,banana,kg,6.679788354
2004-05,Central,"bean, brown",kg,51.03975263
2004-05,Central,"bean, white",kg,46.31542542
2004-05,Central,beef,kg,201.6203072
2004-05,Central,biscuits,kg,158.1520843
2004-05,Central,bottled/ canned beer,kg,62.63969437
2004-05,Central,bread,kg,751.396376
2004-05,Central,breakfast cereal,kg,444.170068
2004-05,Central,"buns, scones",kg,15.80743008
2004-05,Central,butter,kg,14675.76918
2004-05,Central,cabbage,kg,40.62502117
2004-05,Central,cassava - boiled (vendor),kg,6.251157407
2004-05,Central,cassava flour,kg,28.93859649
2004-05,Central,cassava tubers,kg,9.335581758
2004-05,Central,chambiko - soured milk,kg,60.95072222
2004-05,Central,cheese,kg,3689.875
2004-05,Central,chibuku/ napolo,kg,34.94397994
2004-05,Central,chicken,kg,1311.940069
2004-05,Central,chicken (vendor),kg,53.34613836
2004-05,Central,chinese cabbage,kg,8.092473211
2004-05,Central,chips (vendor),kg,56.17692023
2004-05,Central,"citrus, naartje, orange, e",kg,6.826182728
2004-05,Central,cocoyam (masimbi),kg,
2004-05,Central,coffee,kg,1377.028012
2004-05,Central,cooking oil,kg,43.62412034
2004-05,Central,cowpea (khobwe),kg,36.3079858
2004-05,Central,cucumber,kg,17.87978728
2004-05,Central,dried fish,kg,35.78382258
2004-05,Central,eggs,kg,25.89852336
2004-05,Central,eggs - boiled (vendor),kg,27.17820513
2004-05,Central,finger millet,kg,46.14698736
2004-05,Central,fish (vendor),kg,17.47480469
2004-05,Central,freezes (flavoured ice),kg,13.06172411
2004-05,Central,fresh fish,kg,57.82105468
2004-05,Central,fresh milk,kg,58.24463897
2004-05,Central,fruit juice,kg,73.46310905
2004-05,Central,gathered wild green leaves,kg,10.7254902
2004-05,Central,goat,kg,159.9230843
2004-05,Central,green maize,kg,15.70232553
2004-05,Central,ground bean,kg,55.85694444
2004-05,Central,groundnut,kg,33.79970642
2004-05,Central,groundnut flour,kg,43.30982377
2004-05,Central,guava,kg,4.072620233
2004-05,Central,"hot sauce (nali, etc.)",kg,135.8719063
2004-05,Central,infant feeding cereals,kg,569.1341991
2004-05,Central,infant feeding formula,kg,542.1125
2004-05,Central,irish potato,kg,21.64222236
2004-05,Central,"jam, jelly, honey",kg,559.4798932
2004-05,Central,local sweet beer (thobwa),kg,11.11439223
2004-05,Central,locally brewed liquor,kg,22.70121812
2004-05,Central,maize - boiled or roasted,kg,16.9107831
2004-05,Central,maize grain (not as ufa),kg,24.54661836
2004-05,Central,maize ufa madeya (bran flo,kg,15.45918656
2004-05,Central,maize ufa mgaiwa (normal f,kg,43.50425589
2004-05,Central,maize ufa refined (fine fl,kg,30.55764815
2004-05,Central,"mandazi, doughnut (vendor)",kg,9.485763217
2004-05,Central,mango,kg,6.907577406
2004-05,Central,margarine,kg,687.3221671
2004-05,Central,meat (vendor),kg,25.70949162
2004-05,Central,meat eaten at restaurant,kg,489.0426419
2004-05,Central,nkwani,kg,11.20720569
