t,m,j,u,Price
2010-11,Central,Apple,kg,365.1946021
2010-11,Central,Avocado,kg,62.31977473
2010-11,Central,Banana,kg,66.06899637
2010-11,Central,"Bean, Brown",kg,218.1307031
2010-11,Central,"Bean, White",kg,88.00389964
2010-11,Central,Beef,kg,252.7976051
2010-11,Central,Biscuits,kg,104.9651971
2010-11,Central,Bottled/ Canned Beer,kg,73.5176969
2010-11,Central,Bottled/ Canned Beer,kg,46.29737564
2010-11,Central,Bread,kg,209.7651783
2010-11,Central,Breakfast Cereal,kg,290.1016562
2010-11,Central,"Buns, Scones",kg,206.4196108
2010-11,Central,Butter,kg,2.763109756
2010-11,Central,Cabbage,kg,46.03705866
2010-11,Central,Cassava - Boiled (Vendor),kg,29.59889747
2010-11,Central,Cassava Flour,kg,156.0274274
2010-11,Central,Cassava Tubers,kg,46.9880642
2010-11,Central,Chambiko - Soured Milk,kg,15.72201874
2010-11,Central,Cheese,kg,0.4109977324
2010-11,Central,Chibuku (Commercial Traditional-Style Beer),kg,52.1148167
2010-11,Central,Chicken,kg,505.1976133
2010-11,Central,Chicken (Vendor),kg,647.4143477
2010-11,Central,Chinese Cabbage,kg,38.59702116
2010-11,Central,Chips (Vendor),kg,169.1999233
2010-11,Central,"Citrus  naartje, orange, etc.",kg,48.27580521
2010-11,Central,"Cocoa, Millo",kg,46.72700896
2010-11,Central,Cocoyam (Masimbi),kg,26.93602694
2010-11,Central,Coffee,kg,24.24764999
2010-11,Central,Cooking Oil,kg,72.08109125
2010-11,Central,Cowpea (Khobwe),kg,89.41636585
2010-11,Central,Cucumber,kg,42.91097583
2010-11,Central,Dried Fish,kg,443.2230476
2010-11,Central,Eggs,kg,462.1301656
2010-11,Central,Eggs - Boiled (Vendor),kg,327.3148148
2010-11,Central,Finger Millet,kg,68.78011701
2010-11,Central,Fish (Vendor),kg,126.2242447
2010-11,Central,Fish Soup/Sauce,kg,0.5137471655
2010-11,Central,Freezes (Flavoured Ice),kg,23.3020633
2010-11,Central,Fresh Fish (Large Variety),kg,262.0302268
2010-11,Central,Fresh Milk,kg,40.65434913
2010-11,Central,Fruit Juice,kg,92.08615596
2010-11,Central,Gathered Wild Green Leaves,kg,135.3533239
2010-11,Central,Goat,kg,223.5426496
2010-11,Central,Green Maize,kg,76.79675679
2010-11,Central,Ground Bean,kg,83.91729154
2010-11,Central,Groundnut,kg,1055.688387
2010-11,Central,Groundnut Flour,kg,356.1765551
2010-11,Central,Guava,kg,67.63208383
2010-11,Central,Honey,kg,29.20017246
2010-11,Central,"Hot Sauce (Nali, Etc.)",kg,19.51681095
2010-11,Central,Infant Feeding Cereals,kg,83.09589459
2010-11,Central,Infant Feeding Formula,kg,215.5612245
2010-11,Central,Irish Potato,kg,63.1260914
2010-11,Central,"Jam, Jelly, Honey",kg,5.023880764
2010-11,Central,Locally Brewed Liquor,kg,30.71146397
2010-11,Central,Macademia Nuts,kg,
2010-11,Central,Maheu,kg,53.69774789
2010-11,Central,Maize - Boiled Or Roasted,kg,40.24082774
2010-11,Central,Maize Grain (Not As Ufa),kg,13.95631068
2010-11,Central,Maize Ufa Madeya (Bran Flo,kg,72.16497305
2010-11,Central,Maize Ufa Mgaiwa (Normal F,kg,55.58664493
2010-11,Central,Maize Ufa Refined (Fine Fl,kg,69.83844334
2010-11,Central,"Mandazi, Doughnut (Vendor)",kg,105.8303595
2010-11,Central,Mango,kg,51.75852949
2010-11,Central,Margarine,kg,85.15982147
2010-11,Central,Meat Eaten At Restaurant,kg,131.7392948
2010-11,Central,Meat (Vendor),kg,1212.515579
2010-11,Central,Mushroom,kg,
2010-11,Central,Mutton,kg,427.8773738
2010-11,Central,Nkwani,kg,54.20191066
2010-11,Central,Okra/Therere,kg,102.4853435
2010-11,Central,Onion,kg,158.3390554
2010-11,Central,Orange Sweet Potato,kg,50.58404126
2010-11,Central,Other (Specify),kg,84.13173061
2010-11,Central,Other Cultivated Green Lea,kg,38.82467704
2010-11,Central,Other Fruits,kg,3.817221511
2010-11,Central,"Other Poultry-Guinea Fowl,",kg,152.6888604
2010-11,Central,Other Vegetable,kg,58.50767085
2010-11,Central,Papaya,kg,40.91411565
2010-11,Central,Pearl Millet,kg,
2010-11,Central,Pigeon Pea (Nandolo),kg,613.2910021
2010-11,Central,Pineapple,kg,69.17257683
2010-11,Central,"Plantain, Cooking Banana",kg,91.40423648
2010-11,Central,Pork,kg,175.4412459
2010-11,Central,Potato Crisps,kg,286.93308
2010-11,Central,Powdered Milk,kg,129.7914391
2010-11,Central,Pumpkin,kg,20.86675767
2010-11,Central,Rice,kg,81.87379784
2010-11,Central,Salt,kg,113.6585865
2010-11,Central,Samosa (Vendor),kg,355.616622
2010-11,Central,"Small animal  rabbit, mice, etc.",kg,38.10774079
2010-11,Central,Smoked Fish (Large Variety),kg,453.8591375
2010-11,Central,"Soft Drinks (Coca Cola, Fa",kg,17.54654008
2010-11,Central,Sorghum,kg,242.7184437
2010-11,Central,Soyabean Flour,kg,101.3740818
2010-11,Central,"Spaghetti, Macaroni, Pasta",kg,187.5399716
2010-11,Central,Spices,kg,41.99514123
2010-11,Central,Squash (Sobo Drink Concent,kg,74.73898666
2010-11,Central,Sugar,kg,74.0286273
2010-11,Central,Sugar Cane,kg,17.18827605
2010-11,Central,"Sweets, Candy, Chocolates",kg,78.01588021
2010-11,Central,Tanaposi Rape,kg,57.3047939
2010-11,Central,Tea,kg,6.642546963
2010-11,Central,"Termites, Other Insect",kg,2250.0
2010-11,Central,Thobwa,kg,33.14064551
2010-11,Central,Tinned Meat Or Fish,kg,483.1366727
2010-11,Central,Tinned Vegetables,kg,370.3703704
2010-11,Central,Tomato,kg,85.08240977
2010-11,Central,Tomato Sauce (Bottle),kg,46.16579404
2010-11,Central,Traditional Beer (Masase),kg,39.80737617
2010-11,Central,Wheat Flour,kg,104.5257127
2010-11,Central,White Sweet Potato,kg,37.82247967
2010-11,Central,"Wild Fruit (Masau, Mlambe,",kg,50.24635916
2010-11,Central,Wine Or Commercial Liquor,kg,15.37462594
2010-11,Central,"Yeast, Baking Powder, Bica",kg,24.93623739
2010-11,Central,Yoghurt,kg,22.49583401
2010-11,North,Apple,kg,534.2857143
2010-11,North,Avocado,kg,35.28061224
2010-11,North,Banana,kg,140.9061818
2010-11,North,"Bean, Brown",kg,260.5988217
2010-11,North,"Bean, White",kg,87.96181951
2010-11,North,Beef,kg,235.9517163
2010-11,North,Biscuits,kg,132.1378233
2010-11,North,Bottled/ Canned Beer,kg,22.33252915
2010-11,North,Bottled/ Canned Beer,kg,24.55947985
2010-11,North,Bread,kg,203.2413572
2010-11,North,Breakfast Cereal,kg,80.43989676
2010-11,North,"Buns, Scones",kg,115.080369
2010-11,North,Butter,kg,2.143442702
2010-11,North,Cabbage,kg,64.04973346
