i,t,m,boys,women,girls,men,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
10101010276,2004-05,North,1,1,2,3,0,0,1,1,0,1,1,0,0,0,0,0,2,1,1.945910149
10101010277,2004-05,North,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1.386294361
10101010283,2004-05,North,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.098612289
10101013002,2004-05,North,1,1,2,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
10101013028,2004-05,North,2,3,2,1,2,0,0,1,0,0,0,2,0,1,1,1,0,0,2.079441542
10101013052,2004-05,North,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6931471806
10101013071,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10101013077,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10101013085,2004-05,North,3,3,3,3,0,0,1,0,2,1,1,2,1,2,0,1,1,0,2.48490665
10101013094,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10101013095,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10101013128,2004-05,North,2,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1.609437912
10101013137,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10101013150,2004-05,North,4,1,1,1,0,1,2,0,2,0,0,0,0,0,1,1,0,0,1.945910149
10101013159,2004-05,North,3,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1.609437912
10101013197,2004-05,North,2,2,3,2,0,0,2,1,0,1,0,1,1,1,1,1,0,0,2.197224577
10101013201,2004-05,North,2,2,2,2,0,0,1,0,0,2,1,1,1,0,0,0,1,1,2.079441542
10101013204,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10101013221,2004-05,North,2,1,3,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1.791759469
10101013227,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.386294361
10101013228,2004-05,North,3,1,2,2,2,0,1,0,0,0,0,2,1,0,0,1,1,0,2.079441542
10101013232,2004-05,North,2,3,2,0,1,0,0,0,0,2,1,0,0,0,0,2,0,1,1.945910149
10101013240,2004-05,North,3,5,2,2,2,0,1,2,0,0,0,0,1,1,0,2,1,2,2.48490665
10101026007,2004-05,North,3,2,2,2,1,0,0,1,1,1,2,0,0,1,1,1,0,0,2.197224577
10101026012,2004-05,North,2,1,3,1,0,0,2,2,0,1,0,0,0,1,1,0,0,0,1.945910149
10101026023,2004-05,North,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
10101026028,2004-05,North,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
10101026038,2004-05,North,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1.386294361
10101026041,2004-05,North,4,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1.945910149
10101026043,2004-05,North,2,2,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1.609437912
10101026044,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1.098612289
10101026060,2004-05,North,3,3,2,1,0,1,1,1,1,0,1,0,1,2,0,0,0,1,2.197224577
10101026068,2004-05,North,2,1,3,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,1.791759469
10101026078,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
10101026102,2004-05,North,2,2,3,0,0,0,0,0,2,1,0,2,0,0,0,1,0,1,1.945910149
10101026118,2004-05,North,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1.098612289
10101026119,2004-05,North,1,1,3,2,1,0,0,2,0,1,0,0,0,1,1,0,1,0,1.945910149
10101026140,2004-05,North,3,1,1,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,1.791759469
10101026150,2004-05,North,2,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
10101026161,2004-05,North,3,1,3,1,0,0,1,0,2,1,0,2,0,0,0,1,1,0,2.079441542
10101026194,2004-05,North,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1.386294361
10101026204,2004-05,North,0,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10101026211,2004-05,North,2,2,2,1,1,0,0,0,1,1,0,2,0,0,0,1,1,0,1.945910149
10102013005,2004-05,North,1,1,1,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1.609437912
10102013024,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102013039,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102013068,2004-05,North,4,1,3,1,1,1,0,1,1,1,2,0,0,0,1,1,0,0,2.197224577
10102013079,2004-05,North,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.098612289
10102013101,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
10102013115,2004-05,North,1,1,6,1,0,1,0,2,1,1,0,2,0,0,1,1,0,0,2.197224577
10102013124,2004-05,North,1,2,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1.609437912
10102013133,2004-05,North,1,1,3,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1.791759469
10102013142,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102013144,2004-05,North,1,1,3,1,0,1,1,0,0,2,0,0,1,1,0,0,0,0,1.791759469
10102013148,2004-05,North,2,1,1,2,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1.791759469
10102013160,2004-05,North,3,1,1,1,0,1,1,0,2,0,0,0,0,0,1,1,0,0,1.791759469
10102013169,2004-05,North,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1.386294361
10102013194,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
10102013200,2004-05,North,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
10102013203,2004-05,North,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1.386294361
10102013215,2004-05,North,1,2,4,1,0,1,0,2,1,0,0,2,0,0,1,1,0,0,2.079441542
10102013216,2004-05,North,6,2,2,1,1,1,1,1,2,0,2,1,0,0,0,1,1,0,2.397895273
10102013219,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102016003,2004-05,North,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1.386294361
10102016011,2004-05,North,2,2,0,2,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1.791759469
10102016017,2004-05,North,1,2,3,2,0,2,1,1,0,0,0,0,2,1,0,0,0,1,2.079441542
10102016018,2004-05,North,3,1,2,1,2,0,1,0,0,1,0,1,0,0,1,1,0,0,1.945910149
10102016020,2004-05,North,3,1,2,3,0,0,2,0,1,1,0,1,2,0,0,1,1,0,2.197224577
10102016024,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102016038,2004-05,North,2,1,1,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
10102016042,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
10102016044,2004-05,North,4,2,0,1,2,0,0,0,1,0,1,0,0,1,0,1,1,0,1.945910149
10102016067,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10102016074,2004-05,North,3,2,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1.791759469
10102016077,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10102016090,2004-05,North,0,2,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1.609437912
10102016095,2004-05,North,0,1,4,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1.791759469
10102016129,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10102016165,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.098612289
10102016168,2004-05,North,3,2,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1.791759469
10102016180,2004-05,North,2,1,3,1,0,2,0,1,2,0,0,0,0,1,1,0,0,0,1.945910149
10102016185,2004-05,North,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289
10102016188,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10103006005,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10103006034,2004-05,North,1,1,3,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1.791759469
10103006037,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
10103006047,2004-05,North,1,2,3,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,1.791759469
10103006060,2004-05,North,3,2,3,1,0,0,0,1,2,2,1,0,0,1,0,0,1,1,2.197224577
10103006089,2004-05,North,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.098612289
10103006098,2004-05,North,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1.609437912
10103006102,2004-05,North,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1.609437912
10103006125,2004-05,North,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1.386294361
10103006140,2004-05,North,1,1,3,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1.791759469
10103006153,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
10103006154,2004-05,North,2,1,2,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1.791759469
10103006158,2004-05,North,2,1,3,2,1,0,0,0,1,2,0,1,1,0,0,1,1,0,2.079441542
10103006169,2004-05,North,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
10103006179,2004-05,North,1,3,2,1,1,2,0,0,0,0,0,0,0,1,0,1,1,1,1.945910149
10103006186,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10103006189,2004-05,North,4,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1.945910149
10103006211,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10103006220,2004-05,North,1,2,1,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1.609437912
10103006233,2004-05,North,4,1,3,1,1,0,0,1,1,2,2,0,0,0,1,1,0,0,2.197224577
10104014008,2004-05,North,2,1,2,2,0,0,0,2,1,0,1,0,2,0,0,1,0,0,1.945910149
10104014010,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
10104014032,2004-05,North,2,1,2,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1.791759469
10104014039,2004-05,North,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1.386294361
10104014062,2004-05,North,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
10104014064,2004-05,North,3,1,2,1,1,0,2,0,0,1,0,1,0,0,1,1,0,0,1.945910149
10104014065,2004-05,North,4,1,1,1,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1.945910149
10104014068,2004-05,North,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
10104014104,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10104014111,2004-05,North,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1.386294361
10104014143,2004-05,North,4,1,1,1,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1.945910149
10104014147,2004-05,North,1,2,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1.609437912
10104014165,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
10104014168,2004-05,North,2,1,1,2,0,0,0,0,2,1,0,0,1,0,0,0,1,1,1.791759469
10104014169,2004-05,North,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1.386294361
10104014170,2004-05,North,4,2,1,2,1,0,1,0,0,1,2,0,1,1,1,1,0,0,2.197224577
10104014171,2004-05,North,1,1,3,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1.791759469
10104014180,2004-05,North,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
10104014184,2004-05,North,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1.098612289
10104014188,2004-05,North,0,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1.609437912
10105005005,2004-05,North,0,1,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1.386294361
10105005010,2004-05,North,3,1,2,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149
10105005016,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10105005027,2004-05,North,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1.609437912
10105005034,2004-05,North,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,2,1.791759469
10105005053,2004-05,North,1,3,3,2,0,1,1,1,0,1,0,0,1,2,0,0,1,1,2.197224577
10105005061,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10105005066,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10105005069,2004-05,North,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289
10105005089,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10105005096,2004-05,North,1,2,0,3,0,0,0,0,1,0,0,1,2,0,0,0,1,1,1.791759469
10105005102,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10105005109,2004-05,North,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1.609437912
10105005128,2004-05,North,2,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
10105005143,2004-05,North,1,1,2,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
10105005156,2004-05,North,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361
10105005160,2004-05,North,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1.386294361
10105005164,2004-05,North,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1.609437912
10105005180,2004-05,North,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1.386294361
10105005181,2004-05,North,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.098612289
10105010003,2004-05,North,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.098612289
10105010034,2004-05,North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10105010044,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10105010054,2004-05,North,3,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1.609437912
10105010073,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
10105010094,2004-05,North,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1.609437912
10105010099,2004-05,North,2,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1.609437912
10105010109,2004-05,North,1,1,1,2,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1.609437912
10105010119,2004-05,North,1,1,3,1,0,0,1,0,0,1,0,2,0,0,1,1,0,0,1.791759469
10105010133,2004-05,North,3,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1.791759469
10105010142,2004-05,North,1,0,0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1.386294361
10105010145,2004-05,North,2,1,2,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1.791759469
10105010156,2004-05,North,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1.609437912
10105010163,2004-05,North,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
10105010166,2004-05,North,2,1,3,1,0,1,2,0,0,2,0,0,0,0,1,1,0,0,1.945910149
10105010170,2004-05,North,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1.386294361
10105010179,2004-05,North,2,3,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1.609437912
10105010202,2004-05,North,2,1,4,2,1,0,0,1,1,1,0,2,1,0,0,1,1,0,2.197224577
10105010235,2004-05,North,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.098612289
10105010241,2004-05,North,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1.609437912
10120702005,2004-05,North,1,1,4,1,0,1,0,1,1,2,0,0,0,1,1,0,0,0,1.945910149
10120702008,2004-05,North,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289
10120702010,2004-05,North,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1.098612289
10120702013,2004-05,North,4,1,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0,2.079441542
