i,t,m,boys,women,girls,men,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
20614055008,2004-05,Central,2,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1.609437912
20614055009,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20614055022,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20614055034,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
20614055038,2004-05,Central,0,1,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
20614055085,2004-05,Central,1,1,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
20614055088,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
20614055093,2004-05,Central,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1.386294361
20614055094,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
20614055096,2004-05,Central,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1.609437912
20614055120,2004-05,Central,2,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20614055137,2004-05,Central,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.386294361
20614055152,2004-05,Central,2,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1.609437912
20614055191,2004-05,Central,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1.386294361
20614055206,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20614055207,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
20614055235,2004-05,Central,0,1,4,2,0,1,0,2,0,0,0,1,1,0,0,1,1,0,1.945910149
20614055238,2004-05,Central,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
20614060016,2004-05,Central,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1.386294361
20614060021,2004-05,Central,1,1,2,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
20614060027,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20614060039,2004-05,Central,5,1,0,1,1,0,1,0,3,0,0,0,0,0,1,1,0,0,1.945910149
20614060057,2004-05,Central,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1.386294361
20614060059,2004-05,Central,4,1,2,1,1,0,1,1,2,1,0,0,0,1,1,0,0,0,2.079441542
20614060065,2004-05,Central,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20614060096,2004-05,Central,4,1,2,1,2,0,1,1,0,1,1,0,0,0,1,1,0,0,2.079441542
20614060122,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471806
20614060153,2004-05,Central,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
20614060157,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20614060162,2004-05,Central,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.098612289
20614060169,2004-05,Central,2,1,2,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1.791759469
20614060171,2004-05,Central,2,1,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
20614060183,2004-05,Central,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.386294361
20614060213,2004-05,Central,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1.386294361
20614060243,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20614060260,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20614060263,2004-05,Central,3,1,3,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2.079441542
20614060264,2004-05,Central,2,1,4,1,0,2,0,2,2,0,0,0,0,0,1,1,0,0,2.079441542
20615003001,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20615003007,2004-05,Central,2,1,1,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1.609437912
20615003010,2004-05,Central,3,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1.791759469
20615003020,2004-05,Central,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1.609437912
20615003022,2004-05,Central,3,4,1,1,1,0,0,0,1,0,1,1,1,2,0,0,0,2,2.197224577
20615003028,2004-05,Central,1,3,1,2,1,0,0,0,0,1,1,0,1,2,0,0,0,1,1.945910149
20615003040,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
20615003044,2004-05,Central,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1.386294361
20615003075,2004-05,Central,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1.609437912
20615003094,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20615003117,2004-05,Central,1,3,3,2,0,1,1,1,0,0,0,2,2,1,0,0,0,1,2.197224577
20615003138,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
20615003141,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
20615003152,2004-05,Central,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
20615003171,2004-05,Central,2,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1.386294361
20615003211,2004-05,Central,6,2,2,1,2,1,2,1,2,0,0,0,0,1,1,1,0,0,2.397895273
20615003212,2004-05,Central,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
20615003246,2004-05,Central,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.098612289
20615003294,2004-05,Central,1,1,2,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1.609437912
20615003307,2004-05,Central,2,1,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1.791759469
20615043026,2004-05,Central,2,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
20615043047,2004-05,Central,0,1,1,3,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1.609437912
20615043071,2004-05,Central,1,1,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1.609437912
20615043076,2004-05,Central,0,2,1,2,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1.609437912
20615043079,2004-05,Central,2,2,8,3,0,1,1,3,0,4,3,0,0,0,0,2,1,0,2.708050201
20615043134,2004-05,Central,2,1,4,1,0,0,1,2,0,1,1,1,0,0,1,1,0,0,2.079441542
20615043144,2004-05,Central,2,1,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1.791759469
20615043148,2004-05,Central,1,1,4,2,0,2,0,1,1,1,0,0,1,0,1,1,0,0,2.079441542
20615043162,2004-05,Central,1,1,2,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912
20615043174,2004-05,Central,2,2,3,0,0,0,1,1,1,2,0,0,0,0,0,2,0,0,1.945910149
20615043190,2004-05,Central,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361
20615043209,2004-05,Central,4,2,9,1,1,4,1,2,1,3,1,0,0,0,1,2,0,0,2.772588722
20615043211,2004-05,Central,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20615043226,2004-05,Central,1,2,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1.609437912
20615043240,2004-05,Central,2,2,2,1,0,1,2,0,0,1,0,0,1,1,0,1,0,0,1.945910149
20615043248,2004-05,Central,3,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1.791759469
20615043252,2004-05,Central,1,2,2,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1.609437912
20615043268,2004-05,Central,2,1,3,2,0,1,1,1,0,1,1,0,1,0,0,1,1,0,2.079441542
20615043280,2004-05,Central,1,1,3,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1.791759469
20615043281,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
20615055002,2004-05,Central,3,3,3,1,1,1,0,1,2,0,0,1,0,2,1,1,0,0,2.302585093
20615055030,2004-05,Central,1,1,2,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1.609437912
20615055034,2004-05,Central,3,1,3,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,2.079441542
20615055044,2004-05,Central,5,1,1,1,0,1,3,0,2,0,0,0,0,1,1,0,0,0,2.079441542
20615055046,2004-05,Central,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20615055054,2004-05,Central,1,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1.386294361
20615055057,2004-05,Central,2,1,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1.791759469
20615055064,2004-05,Central,3,2,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1.945910149
20615055075,2004-05,Central,0,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.609437912
20615055101,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20615055130,2004-05,Central,3,1,2,2,0,2,2,0,1,0,1,0,0,0,1,1,0,0,2.079441542
20615055162,2004-05,Central,3,2,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1.945910149
20615055172,2004-05,Central,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289
20615055174,2004-05,Central,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1.386294361
20615055195,2004-05,Central,1,1,3,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1.791759469
20615055226,2004-05,Central,1,1,1,3,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1.791759469
20615055234,2004-05,Central,3,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1.609437912
20615055242,2004-05,Central,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.098612289
20615055245,2004-05,Central,3,2,2,2,2,1,1,1,0,0,0,0,2,2,0,0,0,0,2.197224577
20615055271,2004-05,Central,0,1,1,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1.386294361
20615061001,2004-05,Central,1,2,2,2,0,0,0,0,0,1,1,1,1,2,1,0,0,0,1.945910149
20615061002,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
20615061011,2004-05,Central,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20615061015,2004-05,Central,2,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.791759469
20615061023,2004-05,Central,1,2,3,1,1,0,0,1,0,2,0,0,0,1,0,0,1,1,1.945910149
20615061031,2004-05,Central,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1.386294361
20615061036,2004-05,Central,2,1,3,1,0,1,2,1,0,1,0,0,0,0,1,1,0,0,1.945910149
20615061059,2004-05,Central,5,2,1,2,1,0,1,0,1,1,2,0,1,1,1,1,0,0,2.302585093
20615061068,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
20615061071,2004-05,Central,2,1,2,1,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1.791759469
20615061080,2004-05,Central,0,1,2,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1.386294361
20615061086,2004-05,Central,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
20615061087,2004-05,Central,2,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1.609437912
20615061089,2004-05,Central,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1.386294361
20615061099,2004-05,Central,2,1,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1.791759469
20615061102,2004-05,Central,3,3,1,1,0,1,1,0,2,0,0,1,0,1,1,1,0,0,2.079441542
20615061107,2004-05,Central,2,1,1,2,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1.791759469
20615061121,2004-05,Central,0,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
20615061130,2004-05,Central,2,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1.791759469
20615061171,2004-05,Central,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1.386294361
20615073013,2004-05,Central,3,2,2,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,2.079441542
20615073037,2004-05,Central,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1.609437912
20615073044,2004-05,Central,0,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
20615073045,2004-05,Central,2,1,2,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1.791759469
20615073060,2004-05,Central,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1.386294361
20615073065,2004-05,Central,2,1,3,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149
20615073071,2004-05,Central,2,2,2,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1.945910149
20615073078,2004-05,Central,2,1,3,1,0,2,0,1,2,0,1,0,0,0,0,1,0,0,1.945910149
20615073105,2004-05,Central,0,1,4,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,1.791759469
20615073116,2004-05,Central,2,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20615073141,2004-05,Central,0,2,2,3,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1.945910149
20615073154,2004-05,Central,0,1,3,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1.609437912
20615073171,2004-05,Central,2,1,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
20615073181,2004-05,Central,3,2,0,5,1,0,0,0,1,0,1,1,3,0,0,1,2,0,2.302585093
20615073201,2004-05,Central,1,1,3,2,0,0,0,0,0,3,1,0,1,0,0,0,1,1,1.945910149
20615073207,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
20615073237,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20615073252,2004-05,Central,1,1,3,1,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1.791759469
20615073260,2004-05,Central,4,1,1,1,1,0,1,1,2,0,0,0,0,1,1,0,0,0,1.945910149
20615073273,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20631008001,2004-05,Central,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20631008027,2004-05,Central,3,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1.791759469
20631008036,2004-05,Central,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
20631008075,2004-05,Central,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20631008090,2004-05,Central,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
20631008098,2004-05,Central,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
20631008102,2004-05,Central,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1.609437912
20631008125,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20631008140,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20631008143,2004-05,Central,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20631008151,2004-05,Central,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.098612289
20631008160,2004-05,Central,0,2,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1.386294361
20631008167,2004-05,Central,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.098612289
20631008173,2004-05,Central,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
20631008176,2004-05,Central,5,1,0,1,1,0,3,0,1,0,0,0,1,1,0,0,0,0,1.945910149
20631008203,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20631008212,2004-05,Central,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.098612289
20631008219,2004-05,Central,2,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1.609437912
20631008238,2004-05,Central,0,0,2,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1.609437912
20631008267,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20633002014,2004-05,Central,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
20633002024,2004-05,Central,1,2,1,2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1.791759469
20633002060,2004-05,Central,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1.386294361
20633002099,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
20633002106,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20633002118,2004-05,Central,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6931471806
20633002130,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20633002134,2004-05,Central,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
20633002150,2004-05,Central,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6931471806
20633002157,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20633002160,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20633002161,2004-05,Central,2,1,2,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1.791759469
20633002219,2004-05,Central,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
20633002226,2004-05,Central,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
20633002238,2004-05,Central,1,1,3,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1.791759469
20633002241,2004-05,Central,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
20633002264,2004-05,Central,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
20633002278,2004-05,Central,0,2,1,2,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1.609437912
20633002297,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20633002337,2004-05,Central,3,1,1,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1.791759469
20638002022,2004-05,Central,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1.386294361
20638002071,2004-05,Central,1,1,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1.386294361
20638002074,2004-05,Central,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
20638002075,2004-05,Central,2,1,2,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1.791759469
20638002092,2004-05,Central,2,1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
20638002104,2004-05,Central,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1.386294361
20638002124,2004-05,Central,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.098612289
20638002134,2004-05,Central,1,1,2,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
20638002136,2004-05,Central,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1.386294361
20638002141,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20638002176,2004-05,Central,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
20638002206,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20638002212,2004-05,Central,1,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1.609437912
20638002216,2004-05,Central,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1.609437912
20638002227,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20638002236,2004-05,Central,1,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
20638002270,2004-05,Central,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1.098612289
20638002282,2004-05,Central,2,1,0,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1.609437912
20638002314,2004-05,Central,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1.386294361
20638002320,2004-05,Central,1,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1.386294361
20638016015,2004-05,Central,1,1,3,2,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1.945910149
20638016025,2004-05,Central,0,1,2,2,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1.609437912
20638016055,2004-05,Central,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.098612289
20638016063,2004-05,Central,4,2,0,1,1,0,2,0,0,0,1,0,1,1,0,1,0,0,1.945910149
20638016065,2004-05,Central,0,1,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1.386294361
20638016076,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
20638016077,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20638016083,2004-05,Central,2,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
20638016088,2004-05,Central,3,2,6,0,0,1,0,3,2,0,1,2,0,1,0,1,0,0,2.397895273
20638016093,2004-05,Central,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20638016112,2004-05,Central,1,2,3,3,0,1,0,0,1,0,0,2,2,1,0,1,1,0,2.197224577
20638016130,2004-05,Central,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1.386294361
20638016135,2004-05,Central,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
20638016137,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
20638016163,2004-05,Central,0,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1.386294361
20638016165,2004-05,Central,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
20638016167,2004-05,Central,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
20638016171,2004-05,Central,2,4,5,3,1,2,1,2,0,1,0,0,1,2,1,1,1,1,2.63905733
20638016210,2004-05,Central,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1.098612289
20638016217,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20648001012,2004-05,Central,1,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.386294361
20648001028,2004-05,Central,2,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1.609437912
20648001056,2004-05,Central,2,2,1,1,0,0,0,0,2,0,0,1,0,1,1,1,0,0,1.791759469
20648001075,2004-05,Central,3,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1.609437912
20648001081,2004-05,Central,1,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1.609437912
20648001089,2004-05,Central,2,1,2,2,0,0,0,1,1,0,2,1,1,0,0,1,0,0,1.945910149
20648001106,2004-05,Central,0,1,3,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1.609437912
20648001119,2004-05,Central,0,2,2,3,0,0,0,0,0,1,0,1,2,1,0,1,1,0,1.945910149
20648001129,2004-05,Central,2,2,2,1,0,0,0,0,1,2,1,0,0,1,1,1,0,0,1.945910149
20648001134,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
20648001165,2004-05,Central,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.098612289
20648001178,2004-05,Central,3,1,1,2,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1.945910149
20648001187,2004-05,Central,1,2,1,2,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1.791759469
20648001195,2004-05,Central,3,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
20648001198,2004-05,Central,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.386294361
20648001204,2004-05,Central,0,2,3,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1.791759469
20648001213,2004-05,Central,3,1,2,4,0,0,1,1,1,0,1,1,3,0,0,1,1,0,2.302585093
20648001229,2004-05,Central,2,2,4,3,1,0,0,0,1,2,0,2,2,1,1,1,0,0,2.397895273
20648001245,2004-05,Central,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
20648001254,2004-05,Central,1,1,1,2,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1.609437912
20651018008,2004-05,Central,0,2,3,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1.609437912
20651018009,2004-05,Central,1,1,3,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1.791759469
20651018015,2004-05,Central,2,1,4,1,0,0,2,1,0,2,0,1,0,0,1,1,0,0,2.079441542
20651018016,2004-05,Central,2,2,3,4,0,0,1,1,0,0,1,2,2,1,1,0,1,1,2.397895273
20651018021,2004-05,Central,1,1,4,3,0,1,0,2,1,0,0,1,2,0,1,1,0,0,2.197224577
20651018059,2004-05,Central,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
20651018076,2004-05,Central,2,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
20651018077,2004-05,Central,3,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1.609437912
20651018082,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20651018103,2004-05,Central,3,3,2,0,0,0,2,2,0,0,1,1,0,1,0,1,0,0,2.079441542
20651018104,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20651018124,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20651018178,2004-05,Central,1,1,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.609437912
20651018189,2004-05,Central,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1.098612289
20651018203,2004-05,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20651018204,2004-05,Central,1,1,3,1,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1.791759469
