t,m,j,u,Price
2019-20,Central,Thobwa,kg,112.3782774
2019-20,Central,Tinned meat or fish,kg,1528.974359
2019-20,Central,Tomato,kg,434.9545449
2019-20,Central,Tomato sauce (bottle),kg,1448.611105
2019-20,Central,Traditional beer (masese),kg,284.4764954
2019-20,Central,Wheat flour,kg,659.6296296
2019-20,Central,White sweet potato,kg,147.1091776
2019-20,Central,"Wild fruit (masau, malambe, etc)",kg,492.5443723
2019-20,Central,Wine or commercial liquor,kg,718.764548
2019-20,Central,"Yeast, baking powder, bicarbonate of soda",kg,941.0652765
2019-20,Central,Yoghurt,kg,922.7799438
2019-20,Central,Zikondamoyo / nkate,kg,279.7619026
2019-20,North,Apple,kg,1234.567888
2019-20,North,Avocado,kg,250.0901568
2019-20,North,Banana,kg,432.9407607
2019-20,North,"Bean, brown",kg,1172.693982
2019-20,North,"Bean, white",kg,1104.133585
2019-20,North,Beef,kg,3152.472103
2019-20,North,Biscuits,kg,1273.880363
2019-20,North,Boiled groundnuts,kg,599.7034702
2019-20,North,Boiled sweet potatoes,kg,439.8826715
2019-20,North,"Bottled / canned beer (carlsberg, etc)",kg,884.5857516
2019-20,North,Bottled water,kg,226.1065025
2019-20,North,Bread,kg,936.0573876
2019-20,North,Breakfast cereals,kg,1861.805453
2019-20,North,"Buns, scones",kg,807.1327787
2019-20,North,Butter,kg,2400.694443
2019-20,North,Cabbage,kg,184.5261824
2019-20,North,Cassava - boiled (vendor),kg,354.8387297
2019-20,North,Cassava - roasted (vendor),kg,655.014314
2019-20,North,Cassava flour,kg,565.1184408
2019-20,North,Cassava tubers,kg,216.865408
2019-20,North,Chambiko - soured milk,kg,584.1267634
2019-20,North,Cheese,kg,4703.573891
2019-20,North,Chibuku(commercial traditional-style beer),kg,437.9999565
2019-20,North,Chicken (vendor),kg,2563.937251
2019-20,North,Chicken - pieces,kg,542.921738
2019-20,North,Chicken - whole,kg,3780.967335
2019-20,North,Chinese cabbage,kg,558.7655821
2019-20,North,Chips (vendor),kg,1343.907057
2019-20,North,"Citrus – naartje, orange, etc",kg,324.3317399
2019-20,North,"Cocoa, milo",kg,5990.502011
2019-20,North,Cocoyam (masimbi),kg,403.9098477
2019-20,North,Coffee,kg,12419.6721
2019-20,North,Cooking oil,kg,1248.892907
2019-20,North,Cowpea (khobwe),kg,1541.696326
2019-20,North,Cucumber,kg,405.6935453
2019-20,North,Eggs,kg,1707.382779
2019-20,North,Eggs - boiled (vendor),kg,1725.694483
2019-20,North,Finger millet (mawere),kg,1268.366811
2019-20,North,Fish (vendor),kg,1458.333366
2019-20,North,Freezes (flavoured ice),kg,192.9581513
2019-20,North,Fresh fish (large variety),kg,1415.781506
2019-20,North,Fresh fish (medium variety),kg,1154.667732
2019-20,North,Fresh fish (small variety),kg,1373.942906
2019-20,North,Fresh milk,kg,1102.283404
2019-20,North,Fruit juice,kg,407.2151608
2019-20,North,Gathered wild green leaves,kg,439.8490133
2019-20,North,Goat,kg,3297.733615
2019-20,North,Green maize,kg,252.5022657
2019-20,North,Ground bean (nzama),kg,737.4697374
2019-20,North,Groundnut (shelled),kg,1091.646478
2019-20,North,Groundnut dried (unshelled),kg,1235.206248
2019-20,North,Groundnut flour,kg,1522.904769
2019-20,North,Groundnut fresh (unshelled),kg,835.1212297
2019-20,North,Guava,kg,313.5998377
2019-20,North,Honey,kg,2190.952379
2019-20,North,"Hot sauce (nali, etc)",kg,2464.452656
2019-20,North,Infant feeding cereals,kg,707.8681091
2019-20,North,Infant feeding formula (for bottle),kg,7193.333333
2019-20,North,Irish potato,kg,416.0786481
2019-20,North,"Jam, jelly",kg,1351.554002
2019-20,North,Kalongonda (mucuna),kg,351.8744046
2019-20,North,Locally brewed liquor (kachasu ),kg,489.316737
2019-20,North,Macademia nuts,kg,
2019-20,North,Maheu,kg,358.9834345
2019-20,North,Maize - boiled or roasted (vendor),kg,286.1508329
2019-20,North,Maize grain (not as ufa),kg,639.0263383
2019-20,North,Maize ufa mgaiwa (normal flour),kg,493.3718353
2019-20,North,Maize ufa processed madeya (bran flour - processed),kg,558.3142719
2019-20,North,Maize ufa refined (fine flour),kg,437.567012
2019-20,North,"Mandazi, doughnut (vendor)",kg,859.4274503
2019-20,North,Mango,kg,167.7916258
2019-20,North,Margarine - blue band,kg,2984.893835
2019-20,North,Meal eaten at restaurant,kg,2118.153569
2019-20,North,Meat (vendor),kg,3607.864327
2019-20,North,Mushroom,kg,1528.899356
2019-20,North,Mutton,kg,2388.888889
2019-20,North,Nkhwani,kg,561.9760193
2019-20,North,Okra / therere,kg,191.0628019
2019-20,North,Onion,kg,640.5040268
2019-20,North,Orange sweet potato,kg,182.6891656
2019-20,North,Other (specify),kg,824.7226292
2019-20,North,Other cultivated green leafy vegetables,kg,350.6654956
2019-20,North,Other fruits (specify),kg,795.3459186
2019-20,North,"Other poultry - guinea fowl, doves, etc",kg,1436.335418
2019-20,North,Papaya,kg,173.4741646
2019-20,North,Pearl millet (mchewere),kg,1025.89031
2019-20,North,Pigeon pea (nandolo),kg,975.7141197
2019-20,North,Pineapple,kg,588.280243
2019-20,North,"Plantain, cooking banana",kg,221.4004308
2019-20,North,Popcorn,kg,1270.112987
2019-20,North,Pork,kg,1845.058673
2019-20,North,Potato crisps,kg,3065.573745
2019-20,North,Powdered milk,kg,18716.23634
2019-20,North,Pumpkin,kg,144.8085105
2019-20,North,Rice,kg,553.9502781
2019-20,North,Roasted groundnuts,kg,753.2515348
2019-20,North,Roasted sweet potatoes,kg,753.4246686
2019-20,North,Salt,kg,462.4075324
2019-20,North,Samosa (vendor),kg,1550.676764
2019-20,North,"Small animal – rabbit, mice, etc",kg,800
2019-20,North,Smoked fish (large variety),kg,1637.893062
2019-20,North,Smoked fish (medium variety),kg,2810.288949
2019-20,North,Smoked fish (small variety),kg,3468.080499
2019-20,North,"Soft drinks (coca-cola, fanta, sprite, etc)",kg,207.6402451
2019-20,North,Sorghum (mapira),kg,905.5948333
2019-20,North,Soyabean flour,kg,911.3782672
2019-20,North,"Spaghetti, macaroni, pasta",kg,1650.025504
2019-20,North,Spices,kg,3806.183694
2019-20,North,Squash (sobo drink concentrate),kg,965.8380769
2019-20,North,Sugar,kg,892.9883498
2019-20,North,Sugar cane,kg,49.44420554
2019-20,North,Sun dried fish (large variety),kg,1114.367198
2019-20,North,Sun dried fish (medium variety),kg,3143.483151
2019-20,North,Sun dried fish (small variety),kg,3007.912958
2019-20,North,"Sweets, candy, chocolates",kg,185.9486962
2019-20,North,Tanaposi/rape,kg,437.7476724
2019-20,North,Tea,kg,3724.203893
2019-20,North,"Termites, other insects (eg ngumbi, caterpillar)",kg,1935.707114
2019-20,North,Thobwa,kg,128.6410735
2019-20,North,Tinned meat or fish,kg,7583.333333
2019-20,North,Tinned vegetables (specify),kg,
2019-20,North,Tomato,kg,449.8531819
2019-20,North,Tomato sauce (bottle),kg,1597.511831
