t,m,j,u,Price
2019-20,Central,Tanaposi Rape,kg,301.5608079
2019-20,Central,Tea,kg,3200.806868
2019-20,Central,"Termites, Other Insect",kg,2436.314459
2019-20,Central,Thobwa,kg,112.3782774
2019-20,Central,Tinned Meat Or Fish,kg,1528.974359
2019-20,Central,Tomato,kg,434.9545449
2019-20,Central,Tomato Sauce (Bottle),kg,1448.611105
2019-20,Central,Traditional Beer (Masase),kg,284.4764954
2019-20,Central,Wheat Flour,kg,659.6296296
2019-20,Central,White Sweet Potato,kg,147.1091776
2019-20,Central,"Wild Fruit (Masau, Mlambe,",kg,492.5443723
2019-20,Central,Wine Or Commercial Liquor,kg,718.764548
2019-20,Central,"Yeast, Baking Powder, Bica",kg,941.0652765
2019-20,Central,Yoghurt,kg,922.7799438
2019-20,Central,Zikondamoyo/Nkate,kg,279.7619026
2019-20,North,Apple,kg,1234.567888
2019-20,North,Avocado,kg,250.0901568
2019-20,North,Banana,kg,432.9407607
2019-20,North,"Bean, Brown",kg,1172.693982
2019-20,North,"Bean, White",kg,1104.133585
2019-20,North,Beef,kg,3152.472103
2019-20,North,Biscuits,kg,1273.880363
2019-20,North,Groundnut,kg,599.7034702
2019-20,North,Boiled sweet potatoes,kg,439.8826715
2019-20,North,"Bottled / canned beer (carlsberg, etc)",kg,884.5857516
2019-20,North,Bottled/ Canned Beer,kg,226.1065025
2019-20,North,Bread,kg,936.0573876
2019-20,North,Breakfast Cereal,kg,1861.805453
2019-20,North,"Buns, Scones",kg,807.1327787
2019-20,North,Butter,kg,2400.694443
2019-20,North,Cabbage,kg,184.5261824
2019-20,North,Cassava - Boiled (Vendor),kg,354.8387297
2019-20,North,Cassava - Boiled (Vendor),kg,655.014314
2019-20,North,Cassava Flour,kg,565.1184408
2019-20,North,Cassava Tubers,kg,216.865408
2019-20,North,Chambiko - Soured Milk,kg,584.1267634
2019-20,North,Cheese,kg,4703.573891
2019-20,North,Chibuku(Commercial Traditional-Style Beer),kg,437.9999565
2019-20,North,Chicken (Vendor),kg,2563.937251
2019-20,North,Chicken - pieces,kg,542.921738
2019-20,North,Chicken,kg,3780.967335
2019-20,North,Chinese Cabbage,kg,558.7655821
2019-20,North,Chips (Vendor),kg,1343.907057
2019-20,North,"Citrus, Naartje, Orange, E",kg,324.3317399
2019-20,North,"Cocoa, Milo",kg,5990.502011
2019-20,North,Cocoyam (Masimbi),kg,403.9098477
2019-20,North,Coffee,kg,12419.6721
2019-20,North,Cooking Oil,kg,1248.892907
2019-20,North,Cowpea (Khobwe),kg,1541.696326
2019-20,North,Cucumber,kg,405.6935453
2019-20,North,Eggs,kg,1707.382779
2019-20,North,Eggs - Boiled (Vendor),kg,1725.694483
2019-20,North,Finger Millet,kg,1268.366811
2019-20,North,Fish (Vendor),kg,1458.333366
2019-20,North,Freezes (Flavoured Ice),kg,192.9581513
2019-20,North,Fresh Fish (Large Variety),kg,1415.781506
2019-20,North,Fresh Fish (Medium Variety),kg,1154.667732
2019-20,North,Fresh Fish (Small Variety),kg,1373.942906
2019-20,North,Fresh Milk,kg,1102.283404
2019-20,North,Fruit Juice,kg,407.2151608
2019-20,North,Gathered Wild Green Leaves,kg,439.8490133
2019-20,North,Goat,kg,3297.733615
2019-20,North,Green Maize,kg,252.5022657
2019-20,North,Ground Bean,kg,737.4697374
2019-20,North,Groundnut Flour,kg,1091.646478
2019-20,North,Groundnut Dried (Unshelled),kg,1235.206248
2019-20,North,Groundnut Flour,kg,1522.904769
2019-20,North,Groundnut Fresh (Unshelled),kg,835.1212297
2019-20,North,Guava,kg,313.5998377
2019-20,North,Honey,kg,2190.952379
2019-20,North,"Hot Sauce (Nali, Etc.)",kg,2464.452656
2019-20,North,Infant Feeding Cereals,kg,707.8681091
2019-20,North,Infant Feeding Formula,kg,7193.333333
2019-20,North,Irish Potato,kg,416.0786481
2019-20,North,"Jam, Jelly, Honey",kg,1351.554002
2019-20,North,Kalongonda (Mucuna),kg,351.8744046
2019-20,North,Locally Brewed Liquor,kg,489.316737
2019-20,North,Macademia Nuts,kg,
2019-20,North,Maheu,kg,358.9834345
2019-20,North,Maize - Boiled Or Roasted,kg,286.1508329
2019-20,North,Maize Grain (Not As Ufa),kg,639.0263383
2019-20,North,Maize Ufa Mgaiwa (Normal F,kg,493.3718353
2019-20,North,Maize Ufa Madeya (Bran Flo,kg,558.3142719
2019-20,North,Maize Ufa Refined (Fine Fl,kg,437.567012
2019-20,North,"Mandazi, Doughnut (Vendor)",kg,859.4274503
2019-20,North,Mango,kg,167.7916258
2019-20,North,Margarine,kg,2984.893835
2019-20,North,Meat Eaten At Restaurant,kg,2118.153569
2019-20,North,Meat (Vendor),kg,3607.864327
2019-20,North,Mushroom,kg,1528.899356
2019-20,North,Mutton,kg,2388.888889
2019-20,North,Nkwani,kg,561.9760193
2019-20,North,Okra/Therere,kg,191.0628019
2019-20,North,Onion,kg,640.5040268
2019-20,North,Orange Sweet Potato,kg,182.6891656
2019-20,North,Other (Specify),kg,824.7226292
2019-20,North,Other Cultivated Green Lea,kg,350.6654956
2019-20,North,Other Fruits,kg,795.3459186
2019-20,North,"Other Poultry-Guinea Fowl,",kg,1436.335418
2019-20,North,Papaya,kg,173.4741646
2019-20,North,Pearl Millet,kg,1025.89031
2019-20,North,Pigeon Pea (Nandolo),kg,975.7141197
2019-20,North,Pineapple,kg,588.280243
2019-20,North,"Plantain, Cooking Banana",kg,221.4004308
2019-20,North,Popcorn,kg,1270.112987
2019-20,North,Pork,kg,1845.058673
2019-20,North,Potato Crisps,kg,3065.573745
2019-20,North,Powdered Milk,kg,18716.23634
2019-20,North,Pumpkin,kg,144.8085105
2019-20,North,Rice,kg,553.9502781
2019-20,North,Roasted groundnuts,kg,753.2515348
2019-20,North,Roasted sweet potatoes,kg,753.4246686
2019-20,North,Salt,kg,462.4075324
2019-20,North,Samosa (Vendor),kg,1550.676764
2019-20,North,"Small Animal- Rabbit, Mice",kg,800.0
2019-20,North,Smoked Fish (Large Variety),kg,1637.893062
2019-20,North,Smoked Fish (Medium Variety),kg,2810.288949
2019-20,North,Smoked Fish (Small Variety),kg,3468.080499
2019-20,North,"Soft Drinks (Coca Cola, Fa",kg,207.6402451
2019-20,North,Sorghum,kg,905.5948333
2019-20,North,Soyabean Flour,kg,911.3782672
2019-20,North,"Spaghetti, Macaroni, Pasta",kg,1650.025504
2019-20,North,Spices,kg,3806.183694
2019-20,North,Squash (Sobo Drink Concent,kg,965.8380769
2019-20,North,Sugar,kg,892.9883498
2019-20,North,Sugar Cane,kg,49.44420554
2019-20,North,Sun Dried Fish (Large Variety),kg,1114.367198
2019-20,North,Sun Dried Fish (Medium Variety),kg,3143.483151
2019-20,North,Sun Dried Fish (Small Variety),kg,3007.912958
2019-20,North,"Sweets, Candy, Chocolates",kg,185.9486962
2019-20,North,Tanaposi Rape,kg,437.7476724
2019-20,North,Tea,kg,3724.203893
2019-20,North,"Termites, Other Insect",kg,1935.707114
2019-20,North,Thobwa,kg,128.6410735
2019-20,North,Tinned Meat Or Fish,kg,7583.333333
2019-20,North,Tinned Vegetables,kg,
2019-20,North,Tomato,kg,449.8531819
2019-20,North,Tomato Sauce (Bottle),kg,1597.511831
2019-20,North,Traditional Beer (Masase),kg,256.1945699
2019-20,North,Wheat Flour,kg,744.7764228
2019-20,North,White Sweet Potato,kg,152.2032895
2019-20,North,"Wild Fruit (Masau, Mlambe,",kg,687.727752
2019-20,North,Wine Or Commercial Liquor,kg,752.2989473
2019-20,North,"Yeast, Baking Powder, Bica",kg,1151.196679
2019-20,North,Yoghurt,kg,894.8060637
2019-20,North,Zikondamoyo/Nkate,kg,224.7207467
2019-20,Southern,Apple,kg,1296.160301
2019-20,Southern,Avocado,kg,217.2679859
2019-20,Southern,Banana,kg,464.0144976
2019-20,Southern,"Bean, Brown",kg,893.9669603
2019-20,Southern,"Bean, White",kg,899.6408959
2019-20,Southern,Beef,kg,2237.571568
2019-20,Southern,Biscuits,kg,1037.193952
2019-20,Southern,Groundnut,kg,566.6173193
2019-20,Southern,Boiled sweet potatoes,kg,196.1408014
2019-20,Southern,"Bottled / canned beer (carlsberg, etc)",kg,1182.194911
2019-20,Southern,Bottled/ Canned Beer,kg,344.3837584
2019-20,Southern,Bread,kg,918.3253542
2019-20,Southern,Breakfast Cereal,kg,2621.558098
2019-20,Southern,"Buns, Scones",kg,998.9768483
