i,t,m,Rural
31007031223,2004-05,Southern,1
31007031254,2004-05,Southern,1
31007031276,2004-05,Southern,1
31007031279,2004-05,Southern,1
31007031288,2004-05,Southern,1
31007031301,2004-05,Southern,1
31007038001,2004-05,Southern,1
31007038011,2004-05,Southern,1
31007038030,2004-05,Southern,1
31007038040,2004-05,Southern,1
31007038054,2004-05,Southern,1
31007038060,2004-05,Southern,1
31007038078,2004-05,Southern,1
31007038093,2004-05,Southern,1
31007038111,2004-05,Southern,1
31007038117,2004-05,Southern,1
31007038126,2004-05,Southern,1
31007038135,2004-05,Southern,1
31007038140,2004-05,Southern,1
31007038168,2004-05,Southern,1
31007038176,2004-05,Southern,1
31007038188,2004-05,Southern,1
31007038196,2004-05,Southern,1
31007038260,2004-05,Southern,1
31007038334,2004-05,Southern,1
31007038351,2004-05,Southern,1
31007039010,2004-05,Southern,1
31007039013,2004-05,Southern,1
31007039021,2004-05,Southern,1
31007039039,2004-05,Southern,1
31007039044,2004-05,Southern,1
31007039076,2004-05,Southern,1
31007039089,2004-05,Southern,1
31007039108,2004-05,Southern,1
31007039110,2004-05,Southern,1
31007039179,2004-05,Southern,1
31007039224,2004-05,Southern,1
31007039235,2004-05,Southern,1
31007039241,2004-05,Southern,1
31007039272,2004-05,Southern,1
31007039274,2004-05,Southern,1
31007039281,2004-05,Southern,1
31007039288,2004-05,Southern,1
31007039297,2004-05,Southern,1
31007039303,2004-05,Southern,1
31007039345,2004-05,Southern,1
31101016002,2004-05,Southern,1
31101016007,2004-05,Southern,1
31101016010,2004-05,Southern,1
31101016013,2004-05,Southern,1
31101016017,2004-05,Southern,1
31101016021,2004-05,Southern,1
31101016022,2004-05,Southern,1
31101016028,2004-05,Southern,1
31101016032,2004-05,Southern,1
31101016036,2004-05,Southern,1
31101016041,2004-05,Southern,1
31101016044,2004-05,Southern,1
31101016047,2004-05,Southern,1
31101016063,2004-05,Southern,1
31101016071,2004-05,Southern,1
31101016072,2004-05,Southern,1
31101016074,2004-05,Southern,1
31101016077,2004-05,Southern,1
31101016079,2004-05,Southern,1
31101016085,2004-05,Southern,1
31102001001,2004-05,Southern,1
31102001011,2004-05,Southern,1
31102001015,2004-05,Southern,1
31102001030,2004-05,Southern,1
31102001043,2004-05,Southern,1
31102001054,2004-05,Southern,1
31102001099,2004-05,Southern,1
31102001105,2004-05,Southern,1
31102001115,2004-05,Southern,1
31102001130,2004-05,Southern,1
31102001159,2004-05,Southern,1
31102001184,2004-05,Southern,1
31102001187,2004-05,Southern,1
31102001194,2004-05,Southern,1
31102001195,2004-05,Southern,1
31102001206,2004-05,Southern,1
31102001211,2004-05,Southern,1
31102001250,2004-05,Southern,1
31102001262,2004-05,Southern,1
31102001284,2004-05,Southern,1
31102009016,2004-05,Southern,1
31102009021,2004-05,Southern,1
31102009033,2004-05,Southern,1
31102009035,2004-05,Southern,1
31102009040,2004-05,Southern,1
31102009042,2004-05,Southern,1
31102009047,2004-05,Southern,1
31102009061,2004-05,Southern,1
31102009074,2004-05,Southern,1
31102009083,2004-05,Southern,1
31102009089,2004-05,Southern,1
31102009093,2004-05,Southern,1
31102009094,2004-05,Southern,1
31102009112,2004-05,Southern,1
31102009113,2004-05,Southern,1
31102009116,2004-05,Southern,1
31102009124,2004-05,Southern,1
31102009127,2004-05,Southern,1
31102009164,2004-05,Southern,1
31102009177,2004-05,Southern,1
31104011029,2004-05,Southern,1
31104011031,2004-05,Southern,1
31104011037,2004-05,Southern,1
31104011056,2004-05,Southern,1
31104011065,2004-05,Southern,1
31104011067,2004-05,Southern,1
31104011093,2004-05,Southern,1
31104011109,2004-05,Southern,1
31104011130,2004-05,Southern,1
31104011136,2004-05,Southern,1
31104011138,2004-05,Southern,1
31104011139,2004-05,Southern,1
31104011140,2004-05,Southern,1
31104011141,2004-05,Southern,1
31104011143,2004-05,Southern,1
31104011149,2004-05,Southern,1
31104011167,2004-05,Southern,1
31104011174,2004-05,Southern,1
31104011175,2004-05,Southern,1
31104011197,2004-05,Southern,1
31104024038,2004-05,Southern,1
31104024051,2004-05,Southern,1
31104024052,2004-05,Southern,1
31104024061,2004-05,Southern,1
31104024088,2004-05,Southern,1
31104024100,2004-05,Southern,1
31104024114,2004-05,Southern,1
31104024116,2004-05,Southern,1
31104024120,2004-05,Southern,1
31104024124,2004-05,Southern,1
31104024134,2004-05,Southern,1
31104024137,2004-05,Southern,1
31104024138,2004-05,Southern,1
31104024153,2004-05,Southern,1
31104024156,2004-05,Southern,1
31104024166,2004-05,Southern,1
31104024191,2004-05,Southern,1
31104024192,2004-05,Southern,1
31104024195,2004-05,Southern,1
31104024197,2004-05,Southern,1
31104802027,2004-05,Southern,1
31104802028,2004-05,Southern,1
31104802038,2004-05,Southern,1
31104802051,2004-05,Southern,1
31104802069,2004-05,Southern,1
31104802092,2004-05,Southern,1
31104802093,2004-05,Southern,1
31104802103,2004-05,Southern,1
31104802104,2004-05,Southern,1
31104802178,2004-05,Southern,1
31104802187,2004-05,Southern,1
31104802319,2004-05,Southern,1
31104802326,2004-05,Southern,1
31104802369,2004-05,Southern,1
31104802392,2004-05,Southern,1
31104802409,2004-05,Southern,1
31104802411,2004-05,Southern,1
31104802415,2004-05,Southern,1
31104802418,2004-05,Southern,1
31104802447,2004-05,Southern,1
31105024019,2004-05,Southern,1
31105024021,2004-05,Southern,1
31105024028,2004-05,Southern,1
31105024051,2004-05,Southern,1
31105024077,2004-05,Southern,1
31105024082,2004-05,Southern,1
31105024085,2004-05,Southern,1
31105024100,2004-05,Southern,1
31105024111,2004-05,Southern,1
31105024135,2004-05,Southern,1
31105024136,2004-05,Southern,1
31105024140,2004-05,Southern,1
31105024148,2004-05,Southern,1
31105024151,2004-05,Southern,1
31105024152,2004-05,Southern,1
31105024153,2004-05,Southern,1
31105024158,2004-05,Southern,1
31105024165,2004-05,Southern,1
31105024193,2004-05,Southern,1
31105024197,2004-05,Southern,1
31106013026,2004-05,Southern,1
31106013027,2004-05,Southern,1
31106013034,2004-05,Southern,1
31106013036,2004-05,Southern,1
31106013040,2004-05,Southern,1
31106013043,2004-05,Southern,1
31106013058,2004-05,Southern,1
31106013060,2004-05,Southern,1
31106013088,2004-05,Southern,1
31106013090,2004-05,Southern,1
31106013094,2004-05,Southern,1
31106013104,2004-05,Southern,1
31106013116,2004-05,Southern,1
31106013131,2004-05,Southern,1
31106013150,2004-05,Southern,1
31106013151,2004-05,Southern,1
31106013160,2004-05,Southern,1
31106013169,2004-05,Southern,1
31106013190,2004-05,Southern,1
31106013192,2004-05,Southern,1
31106020017,2004-05,Southern,1
31106020046,2004-05,Southern,1
31106020051,2004-05,Southern,1
31106020083,2004-05,Southern,1
31106020085,2004-05,Southern,1
31106020102,2004-05,Southern,1
31106020128,2004-05,Southern,1
31106020147,2004-05,Southern,1
31106020205,2004-05,Southern,1
31106020206,2004-05,Southern,1
31106020219,2004-05,Southern,1
31106020247,2004-05,Southern,1
31106020265,2004-05,Southern,1
31106020286,2004-05,Southern,1
31106020328,2004-05,Southern,1
31106020368,2004-05,Southern,1
31106020369,2004-05,Southern,1
31106020427,2004-05,Southern,1
31106020435,2004-05,Southern,1
31106020443,2004-05,Southern,1
31106801003,2004-05,Southern,1
31106801006,2004-05,Southern,1
31106801007,2004-05,Southern,1
31106801039,2004-05,Southern,1
31106801051,2004-05,Southern,1
31106801068,2004-05,Southern,1
31106801078,2004-05,Southern,1
31106801085,2004-05,Southern,1
31106801121,2004-05,Southern,1
31106801127,2004-05,Southern,1
31106801147,2004-05,Southern,1
31106801149,2004-05,Southern,1
31106801155,2004-05,Southern,1
31106801169,2004-05,Southern,1
31106801175,2004-05,Southern,1
31106801185,2004-05,Southern,1
31106801189,2004-05,Southern,1
31106801200,2004-05,Southern,1
31106801214,2004-05,Southern,1
31106801230,2004-05,Southern,1
31106803001,2004-05,Southern,1
31106803022,2004-05,Southern,1
31106803049,2004-05,Southern,1
31106803050,2004-05,Southern,1
31106803077,2004-05,Southern,1
31106803080,2004-05,Southern,1
31106803104,2004-05,Southern,1
31106803129,2004-05,Southern,1
31106803133,2004-05,Southern,1
31106803137,2004-05,Southern,1
31106803176,2004-05,Southern,1
31106803178,2004-05,Southern,1
31106803191,2004-05,Southern,1
31106803229,2004-05,Southern,1
31106803241,2004-05,Southern,1
31106803243,2004-05,Southern,1
31106803274,2004-05,Southern,1
31106803284,2004-05,Southern,1
31106803290,2004-05,Southern,1
31106803333,2004-05,Southern,1
31107009051,2004-05,Southern,1
31107009072,2004-05,Southern,1
31107009079,2004-05,Southern,1
31107009100,2004-05,Southern,1
31107009117,2004-05,Southern,1
31107009135,2004-05,Southern,1
31107009145,2004-05,Southern,1
31107009157,2004-05,Southern,1
31107009168,2004-05,Southern,1
31107009182,2004-05,Southern,1
31107009225,2004-05,Southern,1
31107009240,2004-05,Southern,1
31107009246,2004-05,Southern,1
31107009249,2004-05,Southern,1
31107009252,2004-05,Southern,1
31107009270,2004-05,Southern,1
31107009279,2004-05,Southern,1
31107009288,2004-05,Southern,1
31107009290,2004-05,Southern,1
31107009325,2004-05,Southern,1
31201047030,2004-05,Southern,1
31201047050,2004-05,Southern,1
31201047057,2004-05,Southern,1
31201047060,2004-05,Southern,1
31201047061,2004-05,Southern,1
31201047064,2004-05,Southern,1
31201047103,2004-05,Southern,1
31201047124,2004-05,Southern,1
31201047125,2004-05,Southern,1
31201047140,2004-05,Southern,1
31201047157,2004-05,Southern,1
31201047160,2004-05,Southern,1
31201047161,2004-05,Southern,1
31201047164,2004-05,Southern,1
31201047171,2004-05,Southern,1
31201047176,2004-05,Southern,1
31201047198,2004-05,Southern,1
31201047199,2004-05,Southern,1
31201047202,2004-05,Southern,1
31201047210,2004-05,Southern,1
31201053007,2004-05,Southern,1
31201053012,2004-05,Southern,1
31201053018,2004-05,Southern,1
31201053026,2004-05,Southern,1
31201053028,2004-05,Southern,1
31201053030,2004-05,Southern,1
31201053049,2004-05,Southern,1
31201053053,2004-05,Southern,1
31201053063,2004-05,Southern,1
31201053074,2004-05,Southern,1
31201053076,2004-05,Southern,1
31201053082,2004-05,Southern,1
31201053086,2004-05,Southern,1
31201053087,2004-05,Southern,1
31201053100,2004-05,Southern,1
31201053109,2004-05,Southern,1
31201053121,2004-05,Southern,1
31201053124,2004-05,Southern,1
31201053153,2004-05,Southern,1
31201053155,2004-05,Southern,1
31201070005,2004-05,Southern,1
31201070008,2004-05,Southern,1
31201070016,2004-05,Southern,1
31201070018,2004-05,Southern,1
31201070025,2004-05,Southern,1
31201070027,2004-05,Southern,1
31201070029,2004-05,Southern,1
31201070042,2004-05,Southern,1
31201070048,2004-05,Southern,1
31201070072,2004-05,Southern,1
31201070076,2004-05,Southern,1
31201070077,2004-05,Southern,1
31201070081,2004-05,Southern,1
31201070103,2004-05,Southern,1
31201070105,2004-05,Southern,1
31201070113,2004-05,Southern,1
31201070117,2004-05,Southern,1
31201070118,2004-05,Southern,1
31201070120,2004-05,Southern,1
31201070123,2004-05,Southern,1
31201091001,2004-05,Southern,1
31201091013,2004-05,Southern,1
31201091056,2004-05,Southern,1
31201091059,2004-05,Southern,1
31201091084,2004-05,Southern,1
31201091089,2004-05,Southern,1
31201091096,2004-05,Southern,1
31201091097,2004-05,Southern,1
31201091099,2004-05,Southern,1
31201091100,2004-05,Southern,1
31201091119,2004-05,Southern,1
31201091123,2004-05,Southern,1
31201091134,2004-05,Southern,1
31201091191,2004-05,Southern,1
31201091206,2004-05,Southern,1
31201091221,2004-05,Southern,1
31201091247,2004-05,Southern,1
31201091254,2004-05,Southern,1
31201091319,2004-05,Southern,1
31201091338,2004-05,Southern,1
31201127003,2004-05,Southern,1
31201127008,2004-05,Southern,1
31201127016,2004-05,Southern,1
31201127026,2004-05,Southern,1
31201127027,2004-05,Southern,1
31201127071,2004-05,Southern,1
31201127075,2004-05,Southern,1
31201127079,2004-05,Southern,1
31201127084,2004-05,Southern,1
31201127087,2004-05,Southern,1
31201127130,2004-05,Southern,1
31201127132,2004-05,Southern,1
31201127134,2004-05,Southern,1
31201127137,2004-05,Southern,1
31201127138,2004-05,Southern,1
31201127149,2004-05,Southern,1
31201127163,2004-05,Southern,1
31201127168,2004-05,Southern,1
31201127170,2004-05,Southern,1
31201127200,2004-05,Southern,1
31201129002,2004-05,Southern,1
31201129009,2004-05,Southern,1
31201129012,2004-05,Southern,1
31201129015,2004-05,Southern,1
31201129024,2004-05,Southern,1
31201129027,2004-05,Southern,1
31201129032,2004-05,Southern,1
31201129035,2004-05,Southern,1
31201129037,2004-05,Southern,1
31201129042,2004-05,Southern,1
31201129044,2004-05,Southern,1
31201129046,2004-05,Southern,1
31201129047,2004-05,Southern,1
31201129048,2004-05,Southern,1
31201129050,2004-05,Southern,1
31201129056,2004-05,Southern,1
31201129059,2004-05,Southern,1
31201129068,2004-05,Southern,1
31201129071,2004-05,Southern,1
31201129075,2004-05,Southern,1
31202020005,2004-05,Southern,1
31202020011,2004-05,Southern,1
31202020016,2004-05,Southern,1
31202020020,2004-05,Southern,1
31202020030,2004-05,Southern,1
31202020031,2004-05,Southern,1
31202020034,2004-05,Southern,1
31202020037,2004-05,Southern,1
31202020041,2004-05,Southern,1
31202020043,2004-05,Southern,1
31202020045,2004-05,Southern,1
31202020047,2004-05,Southern,1
31202020050,2004-05,Southern,1
31202020054,2004-05,Southern,1
31202020062,2004-05,Southern,1
31202020064,2004-05,Southern,1
31202020065,2004-05,Southern,1
31202020067,2004-05,Southern,1
31202020084,2004-05,Southern,1
31202020093,2004-05,Southern,1
31202033014,2004-05,Southern,1
31202033023,2004-05,Southern,1
31202033032,2004-05,Southern,1
31202033045,2004-05,Southern,1
31202033054,2004-05,Southern,1
31202033057,2004-05,Southern,1
31202033065,2004-05,Southern,1
31202033077,2004-05,Southern,1
31202033085,2004-05,Southern,1
31202033099,2004-05,Southern,1
31202033120,2004-05,Southern,1
31202033129,2004-05,Southern,1
31202033158,2004-05,Southern,1
31202033214,2004-05,Southern,1
31202033225,2004-05,Southern,1
31202033258,2004-05,Southern,1
31202033266,2004-05,Southern,1
31202033278,2004-05,Southern,1
31202033286,2004-05,Southern,1
31202033306,2004-05,Southern,1
31202044020,2004-05,Southern,1
31202044025,2004-05,Southern,1
31202044037,2004-05,Southern,1
31202044039,2004-05,Southern,1
31202044040,2004-05,Southern,1
31202044046,2004-05,Southern,1
31202044109,2004-05,Southern,1
31202044120,2004-05,Southern,1
31202044136,2004-05,Southern,1
31202044173,2004-05,Southern,1
31202044177,2004-05,Southern,1
31202044196,2004-05,Southern,1
31202044200,2004-05,Southern,1
31202044222,2004-05,Southern,1
31202044254,2004-05,Southern,1
31202044282,2004-05,Southern,1
31202044293,2004-05,Southern,1
31202044304,2004-05,Southern,1
31202044377,2004-05,Southern,1
31202044391,2004-05,Southern,1
31202054011,2004-05,Southern,1
31202054015,2004-05,Southern,1
31202054030,2004-05,Southern,1
31202054039,2004-05,Southern,1
31202054053,2004-05,Southern,1
31202054054,2004-05,Southern,1
31202054071,2004-05,Southern,1
31202054099,2004-05,Southern,1
31202054105,2004-05,Southern,1
31202054115,2004-05,Southern,1
31202054130,2004-05,Southern,1
31202054140,2004-05,Southern,1
31202054159,2004-05,Southern,1
31202054184,2004-05,Southern,1
31202054187,2004-05,Southern,1
31202054190,2004-05,Southern,1
31202054206,2004-05,Southern,1
31202054211,2004-05,Southern,1
31202054250,2004-05,Southern,1
31202054262,2004-05,Southern,1
31202068049,2004-05,Southern,1
31202068067,2004-05,Southern,1
31202068072,2004-05,Southern,1
31202068088,2004-05,Southern,1
31202068095,2004-05,Southern,1
31202068099,2004-05,Southern,1
31202068109,2004-05,Southern,1
31202068122,2004-05,Southern,1
31202068129,2004-05,Southern,1
31202068138,2004-05,Southern,1
31202068155,2004-05,Southern,1
31202068157,2004-05,Southern,1
31202068162,2004-05,Southern,1
31202068163,2004-05,Southern,1
31202068176,2004-05,Southern,1
31202068197,2004-05,Southern,1
31202068198,2004-05,Southern,1
31202068205,2004-05,Southern,1
31202068224,2004-05,Southern,1
31202068232,2004-05,Southern,1
31202086022,2004-05,Southern,1
31202086045,2004-05,Southern,1
31202086069,2004-05,Southern,1
31202086090,2004-05,Southern,1
31202086099,2004-05,Southern,1
31202086175,2004-05,Southern,1
31202086183,2004-05,Southern,1
31202086188,2004-05,Southern,1
31202086211,2004-05,Southern,1
31202086222,2004-05,Southern,1
31202086247,2004-05,Southern,1
31202086265,2004-05,Southern,1
31202086288,2004-05,Southern,1
31202086289,2004-05,Southern,1
31202086303,2004-05,Southern,1
31202086305,2004-05,Southern,1
31202086331,2004-05,Southern,1
31202086344,2004-05,Southern,1
31202086364,2004-05,Southern,1
31202086374,2004-05,Southern,1
101010160009,2010-11,North,1
101010160033,2010-11,North,1
101010160060,2010-11,North,1
101010160068,2010-11,North,1
101010160069,2010-11,North,1
101010160070,2010-11,North,1
101010160074,2010-11,North,1
101010160086,2010-11,North,1
101010160096,2010-11,North,1
101010160143,2010-11,North,1
101010160159,2010-11,North,1
101010160180,2010-11,North,1
101010160207,2010-11,North,1
101010160235,2010-11,North,1
101010160254,2010-11,North,1
101010160265,2010-11,North,1
101012040003,2010-11,North,1
101012040007,2010-11,North,1
101012040011,2010-11,North,1
101012040020,2010-11,North,1
101012040024,2010-11,North,1
101012040028,2010-11,North,1
101012040037,2010-11,North,1
101012040041,2010-11,North,1
101012040045,2010-11,North,1
101012040054,2010-11,North,1
101012040058,2010-11,North,1
101012040062,2010-11,North,1
101012040071,2010-11,North,1
101012040075,2010-11,North,1
101012040079,2010-11,North,1
101012040087,2010-11,North,1
101012150001,2010-11,North,1
101012150004,2010-11,North,1
101012150021,2010-11,North,1
101012150022,2010-11,North,1
101012150026,2010-11,North,1
101012150028,2010-11,North,1
101012150034,2010-11,North,1
101012150038,2010-11,North,1
101012150040,2010-11,North,1
101012150045,2010-11,North,1
101012150048,2010-11,North,1
101012150049,2010-11,North,1
101012150053,2010-11,North,1
101012150059,2010-11,North,1
101012150060,2010-11,North,1
101012150074,2010-11,North,1
101015620009,2010-11,North,1
101015620020,2010-11,North,1
101015620031,2010-11,North,1
101015620042,2010-11,North,1
101015620053,2010-11,North,1
101015620064,2010-11,North,1
101015620075,2010-11,North,1
101015620086,2010-11,North,1
101015620096,2010-11,North,1
101015620118,2010-11,North,1
101015620140,2010-11,North,1
101015620162,2010-11,North,1
101015620184,2010-11,North,1
101015620195,2010-11,North,1
101015620205,2010-11,North,1
101015620227,2010-11,North,1
101020040001,2010-11,North,1
101020040008,2010-11,North,1
101020040012,2010-11,North,1
101020040015,2010-11,North,1
101020040028,2010-11,North,1
101020040031,2010-11,North,1
101020040034,2010-11,North,1
101020040039,2010-11,North,1
101020040042,2010-11,North,1
101020040059,2010-11,North,1
101020040061,2010-11,North,1
101020040093,2010-11,North,1
101020040101,2010-11,North,1
101020040104,2010-11,North,1
101020040121,2010-11,North,1
101020040128,2010-11,North,1
101034140003,2010-11,North,1
101034140009,2010-11,North,1
101034140020,2010-11,North,1
101034140025,2010-11,North,1
101034140031,2010-11,North,1
101034140042,2010-11,North,1
101034140047,2010-11,North,1
101034140053,2010-11,North,1
101034140064,2010-11,North,1
101034140069,2010-11,North,1
101034140075,2010-11,North,1
101034140086,2010-11,North,1
101034140091,2010-11,North,1
101034140097,2010-11,North,1
101034140108,2010-11,North,1
101034140114,2010-11,North,1
101041500004,2010-11,North,1
101041500006,2010-11,North,1
101041500012,2010-11,North,1
101041500013,2010-11,North,1
101041500015,2010-11,North,1
101041500023,2010-11,North,1
101041500027,2010-11,North,1
101041500045,2010-11,North,1
101041500048,2010-11,North,1
101041500053,2010-11,North,1
101041500054,2010-11,North,1
101041500057,2010-11,North,1
101041500063,2010-11,North,1
101041500067,2010-11,North,1
101041500076,2010-11,North,1
101041500079,2010-11,North,1
102016880002,2010-11,North,1
102016880010,2010-11,North,1
102016880018,2010-11,North,1
102016880033,2010-11,North,1
102016880041,2010-11,North,1
102016880049,2010-11,North,1
102016880064,2010-11,North,1
102016880072,2010-11,North,1
102016880080,2010-11,North,1
102016880095,2010-11,North,1
102016880103,2010-11,North,1
102016880111,2010-11,North,1
102016880126,2010-11,North,1
102016880134,2010-11,North,1
102016880142,2010-11,North,1
102016880157,2010-11,North,1
102025140004,2010-11,North,1
102025140019,2010-11,North,1
102025140060,2010-11,North,1
102025140064,2010-11,North,1
102025140068,2010-11,North,1
102025140087,2010-11,North,1
102025140089,2010-11,North,1
102025140104,2010-11,North,1
102025140122,2010-11,North,1
102025140144,2010-11,North,1
102025140145,2010-11,North,1
102025140149,2010-11,North,1
102025140151,2010-11,North,1
102025140160,2010-11,North,1
102025140161,2010-11,North,1
102025140169,2010-11,North,1
102031760004,2010-11,North,1
102031760009,2010-11,North,1
102031760014,2010-11,North,1
102031760024,2010-11,North,1
102031760029,2010-11,North,1
102031760033,2010-11,North,1
102031760043,2010-11,North,1
102031760048,2010-11,North,1
102031760053,2010-11,North,1
102031760063,2010-11,North,1
102031760067,2010-11,North,1
102031760072,2010-11,North,1
102031760082,2010-11,North,1
102031760087,2010-11,North,1
102031760092,2010-11,North,1
102031760101,2010-11,North,1
102037440001,2010-11,North,1
102037440006,2010-11,North,1
102037440017,2010-11,North,1
102037440023,2010-11,North,1
102037440029,2010-11,North,1
102037440040,2010-11,North,1
102037440045,2010-11,North,1
102037440051,2010-11,North,1
102037440062,2010-11,North,1
102037440068,2010-11,North,1
102037440073,2010-11,North,1
102037440084,2010-11,North,1
102037440090,2010-11,North,1
102037440095,2010-11,North,1
102037440107,2010-11,North,1
102037440112,2010-11,North,1
102043220004,2010-11,North,1
102043220009,2010-11,North,1
102043220019,2010-11,North,1
102043220023,2010-11,North,1
102043220028,2010-11,North,1
102043220038,2010-11,North,1
102043220043,2010-11,North,1
102043220047,2010-11,North,1
102043220057,2010-11,North,1
102043220062,2010-11,North,1
102043220067,2010-11,North,1
102043220076,2010-11,North,1
102043220081,2010-11,North,1
102043220086,2010-11,North,1
102043220095,2010-11,North,1
102043220100,2010-11,North,1
102045860004,2010-11,North,1
102045860010,2010-11,North,1
102045860012,2010-11,North,1
102045860025,2010-11,North,1
102045860049,2010-11,North,1
102045860053,2010-11,North,1
102045860054,2010-11,North,1
102045860065,2010-11,North,1
102045860070,2010-11,North,1
102045860107,2010-11,North,1
102045860112,2010-11,North,1
102045860115,2010-11,North,1
102045860122,2010-11,North,1
102045860123,2010-11,North,1
102045860161,2010-11,North,1
102045860164,2010-11,North,1
102201030013,2010-11,North,0
102201030021,2010-11,North,0
102201030028,2010-11,North,0
102201030035,2010-11,North,0
102201030050,2010-11,North,0
102201030058,2010-11,North,0
102201030065,2010-11,North,0
102201030073,2010-11,North,0
102201030088,2010-11,North,0
102201030095,2010-11,North,0
102201030103,2010-11,North,0
102201030110,2010-11,North,0
102201030125,2010-11,North,0
102201030133,2010-11,North,0
102201030140,2010-11,North,0
102201030155,2010-11,North,0
102207050019,2010-11,North,0
102207050044,2010-11,North,0
102207050054,2010-11,North,0
102207050056,2010-11,North,0
102207050062,2010-11,North,0
102207050084,2010-11,North,0
102207050090,2010-11,North,0
102207050112,2010-11,North,0
102207050138,2010-11,North,0
102207050170,2010-11,North,0
102207050199,2010-11,North,0
102207050206,2010-11,North,0
102207050298,2010-11,North,0
102207050319,2010-11,North,0
102207050344,2010-11,North,0
102207050359,2010-11,North,0
103016630054,2010-11,North,1
103016630124,2010-11,North,1
103016630160,2010-11,North,1
103016630181,2010-11,North,1
103016630188,2010-11,North,1
103016630198,2010-11,North,1
103016630217,2010-11,North,1
103016630224,2010-11,North,1
103016630233,2010-11,North,1
103016630235,2010-11,North,1
103016630289,2010-11,North,1
103016630300,2010-11,North,1
103016630307,2010-11,North,1
103016630351,2010-11,North,1
103016630379,2010-11,North,1
103016630383,2010-11,North,1
103020100009,2010-11,North,1
103020100012,2010-11,North,1
103020100016,2010-11,North,1
103020100019,2010-11,North,1
103020100028,2010-11,North,1
103020100034,2010-11,North,1
103020100037,2010-11,North,1
103020100047,2010-11,North,1
103020100054,2010-11,North,1
103020100056,2010-11,North,1
103020100076,2010-11,North,1
103020100089,2010-11,North,1
103020100105,2010-11,North,1
103020100106,2010-11,North,1
103020100107,2010-11,North,1
103020100112,2010-11,North,1
103040120012,2010-11,North,1
103040120023,2010-11,North,1
103040120049,2010-11,North,1
103040120062,2010-11,North,1
103040120074,2010-11,North,1
103040120101,2010-11,North,1
103040120105,2010-11,North,1
103040120125,2010-11,North,1
103040120126,2010-11,North,1
103040120129,2010-11,North,1
103040120132,2010-11,North,1
103040120141,2010-11,North,1
103040120148,2010-11,North,1
103040120153,2010-11,North,1
103040120166,2010-11,North,1
103040120171,2010-11,North,1
103054460016,2010-11,North,1
103054460029,2010-11,North,1
103054460042,2010-11,North,1
103054460055,2010-11,North,1
103054460081,2010-11,North,1
103054460094,2010-11,North,1
103054460107,2010-11,North,1
103054460120,2010-11,North,1
103054460146,2010-11,North,1
103054460159,2010-11,North,1
103054460172,2010-11,North,1
103054460185,2010-11,North,1
103054460224,2010-11,North,1
103054460237,2010-11,North,1
103054460263,2010-11,North,1
103074130018,2010-11,North,1
103074130028,2010-11,North,1
103074130044,2010-11,North,1
103074130047,2010-11,North,1
103074130052,2010-11,North,1
103074130071,2010-11,North,1
103074130087,2010-11,North,1
103074130099,2010-11,North,1
103074130110,2010-11,North,1
103074130139,2010-11,North,1
103074130171,2010-11,North,1
103074130190,2010-11,North,1
103074130225,2010-11,North,1
103074130252,2010-11,North,1
103074130255,2010-11,North,1
103074130258,2010-11,North,1
103086360009,2010-11,North,1
103086360036,2010-11,North,1
103086360045,2010-11,North,1
103086360054,2010-11,North,1
103086360063,2010-11,North,1
103086360072,2010-11,North,1
103086360073,2010-11,North,1
103086360081,2010-11,North,1
103086360090,2010-11,North,1
103086360099,2010-11,North,1
103086360117,2010-11,North,1
103086360126,2010-11,North,1
103086360135,2010-11,North,1
103086360153,2010-11,North,1
103086360162,2010-11,North,1
104011400012,2010-11,North,1
104011400028,2010-11,North,1
104011400045,2010-11,North,1
104011400061,2010-11,North,1
104011400079,2010-11,North,1
104011400112,2010-11,North,1
104011400129,2010-11,North,1
104011400146,2010-11,North,1
104011400196,2010-11,North,1
104011400213,2010-11,North,1
104011400229,2010-11,North,1
104011400263,2010-11,North,1
104011400280,2010-11,North,1
104011400296,2010-11,North,1
104011400330,2010-11,North,1
104011400347,2010-11,North,1
104015020020,2010-11,North,1
104015020027,2010-11,North,1
104015020056,2010-11,North,1
104015020074,2010-11,North,1
104015020081,2010-11,North,1
104015020084,2010-11,North,1
104015020099,2010-11,North,1
104015020102,2010-11,North,1
104015020103,2010-11,North,1
104015020121,2010-11,North,1
104015020122,2010-11,North,1
104015020127,2010-11,North,1
104015020133,2010-11,North,1
104015020148,2010-11,North,1
104015020157,2010-11,North,1
104015020173,2010-11,North,1
104015220004,2010-11,North,1
104015220008,2010-11,North,1
104015220019,2010-11,North,1
104015220038,2010-11,North,1
104015220041,2010-11,North,1
104015220042,2010-11,North,1
104015220054,2010-11,North,1
104015220055,2010-11,North,1
104015220061,2010-11,North,1
104015220063,2010-11,North,1
104015220065,2010-11,North,1
104015220068,2010-11,North,1
104015220087,2010-11,North,1
104015220088,2010-11,North,1
104015220091,2010-11,North,1
104015220092,2010-11,North,1
104041860008,2010-11,North,1
104041860012,2010-11,North,1
104041860017,2010-11,North,1
104041860021,2010-11,North,1
104041860030,2010-11,North,1
104041860034,2010-11,North,1
104041860039,2010-11,North,1
104041860043,2010-11,North,1
104041860052,2010-11,North,1
104041860056,2010-11,North,1
104041860061,2010-11,North,1
104041860065,2010-11,North,1
104041860074,2010-11,North,1
104041860079,2010-11,North,1
104041860083,2010-11,North,1
104041860092,2010-11,North,1
